"","date","Department","supply","stock"
"1929",1989-10-01,"Prints & Illustrated Books",147,38032
"1930",1989-12-01,"Prints & Illustrated Books",4,38036
"1931",1990-01-01,"Prints & Illustrated Books",100,38136
"1932",1990-05-01,"Prints & Illustrated Books",396,38532
"1933",1990-10-01,"Prints & Illustrated Books",205,38737
"1934",1990-12-01,"Prints & Illustrated Books",15,38752
"1935",1991-01-01,"Prints & Illustrated Books",212,38964
"1936",1991-02-01,"Prints & Illustrated Books",13,38977
"1937",1991-05-01,"Prints & Illustrated Books",59,39036
"1938",1991-10-01,"Prints & Illustrated Books",156,39192
"1939",1992-01-01,"Prints & Illustrated Books",231,39423
"1940",1992-05-01,"Prints & Illustrated Books",307,39730
"1941",1992-11-01,"Prints & Illustrated Books",119,39849
"1942",1993-01-01,"Prints & Illustrated Books",309,40158
"1943",1993-05-01,"Prints & Illustrated Books",57,40215
"1944",1993-11-01,"Prints & Illustrated Books",448,40663
"1945",1993-12-01,"Prints & Illustrated Books",11,40674
"1946",1994-01-01,"Prints & Illustrated Books",153,40827
"1947",1994-05-01,"Prints & Illustrated Books",66,40893
"1948",1994-11-01,"Prints & Illustrated Books",113,41006
"1949",1995-01-01,"Prints & Illustrated Books",52,41058
"1950",1995-05-01,"Prints & Illustrated Books",29,41087
"1951",1995-11-01,"Prints & Illustrated Books",99,41186
"1952",1996-03-01,"Prints & Illustrated Books",134,41320
"1953",1996-05-01,"Prints & Illustrated Books",55,41375
"1954",1996-11-01,"Prints & Illustrated Books",210,41585
"1955",1997-03-01,"Prints & Illustrated Books",104,41689
"1956",1997-05-01,"Prints & Illustrated Books",188,41877
"1957",1997-11-01,"Prints & Illustrated Books",198,42075
"1958",1998-03-01,"Prints & Illustrated Books",302,42377
"1959",1998-05-01,"Prints & Illustrated Books",53,42430
"1960",1998-06-01,"Prints & Illustrated Books",1,42431
"1961",1998-11-01,"Prints & Illustrated Books",49,42480
"1962",1999-03-01,"Prints & Illustrated Books",84,42564
"1963",1999-05-01,"Prints & Illustrated Books",356,42920
"1964",1999-11-01,"Prints & Illustrated Books",136,43056
"1965",2000-03-01,"Prints & Illustrated Books",160,43216
"1966",2000-05-01,"Prints & Illustrated Books",1,43217
"1967",2000-11-01,"Prints & Illustrated Books",120,43337
"1968",2001-01-01,"Prints & Illustrated Books",1596,44933
"1969",2001-05-01,"Prints & Illustrated Books",193,45126
"1970",2001-11-01,"Prints & Illustrated Books",124,45250
"1971",2002-04-01,"Prints & Illustrated Books",93,45343
"1972",2002-06-01,"Prints & Illustrated Books",30,45373
"1973",2002-11-01,"Prints & Illustrated Books",109,45482
"1974",2003-03-01,"Prints & Illustrated Books",39,45521
"1975",2003-06-01,"Prints & Illustrated Books",61,45582
"1976",2003-11-01,"Prints & Illustrated Books",65,45647
"1977",2004-03-01,"Prints & Illustrated Books",96,45743
"1978",2004-05-01,"Prints & Illustrated Books",2,45745
"1979",2004-06-01,"Prints & Illustrated Books",64,45809
"1980",2004-10-01,"Prints & Illustrated Books",92,45901
"1981",2005-02-01,"Prints & Illustrated Books",2,45903
"1982",2005-03-01,"Prints & Illustrated Books",131,46034
"1983",2005-06-01,"Prints & Illustrated Books",314,46348
"1984",2005-10-01,"Prints & Illustrated Books",97,46445
"1985",2006-03-01,"Prints & Illustrated Books",205,46650
"1986",2006-04-01,"Prints & Illustrated Books",14,46664
"1987",2006-06-01,"Prints & Illustrated Books",547,47211
"1988",2006-11-01,"Prints & Illustrated Books",121,47332
"1989",2007-03-01,"Prints & Illustrated Books",100,47432
"1990",2007-04-01,"Prints & Illustrated Books",8,47440
"1991",2007-06-01,"Prints & Illustrated Books",62,47502
"1992",2007-11-01,"Prints & Illustrated Books",675,48177
"1993",2008-03-01,"Prints & Illustrated Books",183,48360
"1994",2008-06-01,"Prints & Illustrated Books",650,49010
"1995",2008-10-01,"Prints & Illustrated Books",2882,51892
"1996",2009-01-01,"Prints & Illustrated Books",70,51962
"1997",2009-04-01,"Prints & Illustrated Books",168,52130
"1998",2009-11-01,"Prints & Illustrated Books",431,52561
"1999",2010-03-01,"Prints & Illustrated Books",79,52640
"2000",2010-06-01,"Prints & Illustrated Books",223,52863
"2001",2010-11-01,"Prints & Illustrated Books",555,53418
"2002",2011-03-01,"Prints & Illustrated Books",163,53581
"2003",2011-05-01,"Prints & Illustrated Books",433,54014
"2004",2011-10-01,"Prints & Illustrated Books",122,54136
"2005",2011-12-01,"Prints & Illustrated Books",5,54141
"2006",2012-02-01,"Prints & Illustrated Books",488,54629
"2007",2012-05-01,"Prints & Illustrated Books",167,54796
"2008",2012-10-01,"Prints & Illustrated Books",732,55528
"2009",2013-02-01,"Prints & Illustrated Books",661,56189
"2010",2013-05-01,"Prints & Illustrated Books",96,56285
"2011",2013-10-01,"Prints & Illustrated Books",545,56830
"2012",2014-02-01,"Prints & Illustrated Books",131,56961
"2013",2014-05-01,"Prints & Illustrated Books",97,57058
"2014",2014-10-01,"Prints & Illustrated Books",201,57259
"2015",2014-12-01,"Prints & Illustrated Books",271,57530
"2016",2015-04-01,"Prints & Illustrated Books",81,57611
"2017",2015-06-01,"Prints & Illustrated Books",297,57908
"2018",2015-10-01,"Prints & Illustrated Books",673,58581
"2019",2016-01-01,"Prints & Illustrated Books",54,58635
"2020",2016-04-01,"Prints & Illustrated Books",29,58664
"2021",NA,"Prints & Illustrated Books",1011,59675
